,station id,station name,station latitude,station longitude
1566,342.0,Columbia St & Rivington St,40.71739973,-73.98016555
1568,3369.0,E 82 St & East End Ave,40.7724607,-73.9468208
1571,3137.0,5 Ave & E 73 St,40.77282817,-73.96685276
1588,3292.0,5 Ave & E 93 St,40.7857851,-73.957481
1603,3301.0,Columbus Ave & W 95 St,40.7919557,-73.968087
1621,545.0,E 23 St & 1 Ave,40.736502,-73.97809472
1632,3343.0,W 107 St & Columbus Ave,40.7997568,-73.9621128676
1655,332.0,Cherry St,40.71219906,-73.97948148
1686,2017.0,E 43 St & 2 Ave,40.75022392,-73.97121414
1700,3747.0,E 84 St & 3 Ave,40.77755374298887,-73.95512759685516
1703,3424.0,E 106 St & Lexington Ave,40.791976,-73.945993
1717,3290.0,E 89 St & York Ave,40.7779453,-73.946041
1747,3323.0,W 106 St & Central Park West,40.7981856,-73.9605909006
1753,3151.0,E 81 St & York Ave,40.7728384,-73.94989233
1764,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853
1767,3490.0,E 116 St & 2 Ave,40.796879,-73.937261
1776,3545.0,Broadway & W 122 St,40.8120562,-73.9612547
1777,3132.0,E 59 St & Madison Ave,40.76350532,-73.97109243
1815,3136.0,5 Ave & E 63 St,40.766368,-73.971518
1829,3536.0,W 116 St & Broadway,40.8082,-73.9641
1833,3286.0,E 89 St & 3 Ave,40.7806284,-73.9521667
1862,3161.0,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719
1866,3511.0,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423
1874,3135.0,E 75 St & 3 Ave,40.77112927,-73.95772297
1883,3734.0,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658
1887,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027
1893,3497.0,Pleasant Ave & E 116 St,40.7949879,-73.9333349
1895,474.0,5 Ave & E 29 St,40.7451677,-73.98683077
1917,3376.0,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
1937,486.0,Broadway & W 29 St,40.7462009,-73.98855723
1959,3680.0,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766
1972,2012.0,E 27 St & 1 Ave,40.739445,-73.976806
1981,3243.0,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478
2003,3363.0,E 102 St & Park Ave,40.7904828,-73.95033068
2021,3226.0,W 82 St & Central Park West,40.78275,-73.97137
2023,3499.0,2 Ave & E 122 St,40.8006721,-73.9349
2045,3146.0,E 81 St & 3 Ave,40.77573034,-73.9567526
2053,3538.0,W 110 St & Amsterdam Ave,40.802692,-73.96295
2085,3139.0,E 72 St & Park Ave,40.77118287540658,-73.96409422159195
2115,394.0,E 9 St & Avenue C,40.72521311,-73.97768752
2135,3367.0,5 Ave & E 103 St,40.7922553,-73.95249933
2145,3495.0,E 114 St & 1 Ave,40.7945663,-73.9362541
2151,3506.0,Lexington Ave & E 120 St,40.8013066,-73.9398167
